         770729 function calls (761077 primitive calls) in 0.757 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.112    0.056 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:291(_read_status)
       19    0.000    0.000    0.110    0.006 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1660(_log)
       19    0.000    0.000    0.109    0.006 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1686(handle)
       19    0.000    0.000    0.109    0.006 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1746(callHandlers)
       38    0.000    0.000    0.109    0.003 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1011(handle)
       38    0.000    0.000    0.109    0.003 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1148(emit)
      109    0.000    0.000    0.108    0.001 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1517(debug)
       38    0.107    0.003    0.107    0.003 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.104    0.104 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/boto3/session.py:215(client)
        1    0.000    0.000    0.104    0.104 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/session.py:832(create_client)
        3    0.000    0.000    0.102    0.034 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connection.py:190(_new_conn)
        3    0.000    0.000    0.102    0.034 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/connection.py:27(create_connection)
       14    0.000    0.000    0.096    0.007 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:751(format_col)
       16    0.000    0.000    0.096    0.006 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1079(format_array)
       16    0.000    0.000    0.095    0.006 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1193(get_result)
        1    0.000    0.000    0.095    0.095 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/client.py:115(create_client)
       12    0.008    0.001    0.077    0.006 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1197(_format_strings)
     16/6    0.000    0.000    0.076    0.013 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/loaders.py:137(_wrapper)
        3    0.000    0.000    0.069    0.023 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connection.py:731(_ssl_wrap_socket_and_match_hostname)
        3    0.000    0.000    0.068    0.023 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/ssl_.py:392(ssl_wrap_socket)
        2    0.000    0.000    0.067    0.034 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/loaders.py:375(load_service_model)
    14439    0.015    0.000    0.066    0.000 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1220(_format)
        3    0.000    0.000    0.064    0.021 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/socket.py:947(getaddrinfo)
        3    0.064    0.021    0.064    0.021 {built-in method _socket.getaddrinfo}
        2    0.001    0.001    0.057    0.028 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/loaders.py:279(list_available_services)
        1    0.000    0.000    0.051    0.051 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/client.py:234(_load_service_model)
        3    0.000    0.000    0.051    0.017 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/ssl_.py:493(_ssl_wrap_socket_impl)
        3    0.000    0.000    0.051    0.017 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:449(wrap_socket)
        3    0.000    0.000    0.051    0.017 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:956(_create)
        3    0.000    0.000    0.050    0.017 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connection.py:322(request)
        2    0.000    0.000    0.050    0.025 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/awsrequest.py:87(request)
        3    0.000    0.000    0.050    0.017 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:1320(endheaders)
        2    0.000    0.000    0.050    0.025 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/awsrequest.py:113(_send_output)
        3    0.000    0.000    0.049    0.016 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/ssl.py:1313(do_handshake)
        3    0.049    0.016    0.049    0.016 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        2    0.000    0.000    0.049    0.025 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/wait.py:113(wait_for_read)
        2    0.000    0.000    0.049    0.025 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/wait.py:57(poll_wait_for_socket)
        3    0.049    0.016    0.049    0.016 {method 'poll' of 'select.poll' objects}
        2    0.000    0.000    0.049    0.025 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/wait.py:74(do_poll)
      805    0.043    0.000    0.043    0.000 {built-in method posix.listdir}
    14439    0.012    0.000    0.042    0.000 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/printing.py:165(pprint_thing)
        3    0.038    0.013    0.038    0.013 {method 'connect' of '_socket.socket' objects}
       32    0.004    0.000    0.031    0.001 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1726(_make_fixed_width)
     46/7    0.000    0.000    0.029    0.004 <frozen importlib._bootstrap>:1349(_find_and_load)
     45/6    0.000    0.000    0.028    0.005 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     43/7    0.000    0.000    0.028    0.004 <frozen importlib._bootstrap>:911(_load_unlocked)
     39/7    0.000    0.000    0.027    0.004 <frozen importlib._bootstrap_external>:989(exec_module)
     18/3    0.000    0.000    0.026    0.009 {built-in method builtins.__import__}
   106/12    0.000    0.000    0.026    0.002 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     89/7    0.001    0.000    0.025    0.004 {built-in method builtins.exec}
    17/14    0.000    0.000    0.022    0.002 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/hooks.py:410(emit)
      250    0.006    0.000    0.022    0.000 {built-in method builtins.max}
    20/15    0.000    0.000    0.022    0.001 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/hooks.py:205(_emit)
        1    0.000    0.000    0.022    0.022 /Users/jonathanspence/Documents/CourseWork/energy_monitor/pipeline/common.py:37(save_data_locally)
    17/14    0.000    0.000    0.022    0.002 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/hooks.py:245(emit)
        1    0.000    0.000    0.022    0.022 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/core/frame.py:2909(to_feather)
        1    0.000    0.000    0.022    0.022 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/feather_format.py:38(to_feather)
        1    0.000    0.000    0.021    0.021 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/client.py:195(_create_client_class)
        1    0.000    0.000    0.020    0.020 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/boto3/utils.py:63(_handler)
        1    0.000    0.000    0.020    0.020 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/boto3/utils.py:50(import_module)
        8    0.000    0.000    0.019    0.002 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/loaders.py:437(load_data_with_path)
       10    0.000    0.000    0.019    0.002 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/loaders.py:184(load_file)
        1    0.000    0.000    0.019    0.019 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/wait.py:95(wait_for_socket)
       16    0.000    0.000    0.019    0.001 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/loaders.py:172(_load_file)
        1    0.000    0.000    0.019    0.019 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/boto3/s3/inject.py:1(<module>)
        1    0.000    0.000    0.018    0.018 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/boto3/s3/transfer.py:1(<module>)
        7    0.000    0.000    0.018    0.003 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/json/__init__.py:299(loads)
        7    0.000    0.000    0.018    0.003 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/json/decoder.py:332(decode)
        1    0.000    0.000    0.017    0.017 /Users/jonathanspence/Documents/CourseWork/energy_monitor/pipeline/extract_generation.py:98(process_data)
        7    0.017    0.002    0.017    0.002 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/json/decoder.py:343(raw_decode)
        2    0.017    0.009    0.017    0.009 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
    14439    0.011    0.000    0.017    0.000 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/printing.py:196(as_escaped_string)
        1    0.000    0.000    0.016    0.016 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/client.py:241(_load_service_endpoints_ruleset)
    35/18    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.006    0.006    0.014    0.014 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pyarrow/feather.py:115(write_feather)
    43305    0.006    0.000    0.014    0.000 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1740(<genexpr>)
    83693    0.009    0.000    0.014    0.000 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/printing.py:510(len)
       62    0.006    0.000    0.013    0.000 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/printing.py:513(justify)
        1    0.000    0.000    0.013    0.013 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/boto3/__init__.py:72(_get_default_session)
        1    0.000    0.000    0.013    0.013 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/boto3/__init__.py:27(setup_default_session)
        1    0.000    0.000    0.013    0.013 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/boto3/session.py:49(__init__)
        4    0.000    0.000    0.013    0.003 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/printing.py:524(adjoin)
        4    0.000    0.000    0.013    0.003 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/printing.py:31(adjoin)
        1    0.000    0.000    0.012    0.012 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/s3transfer/__init__.py:1(<module>)
       39    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.011    0.011 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/s3transfer/compat.py:1(<module>)
        7    0.000    0.000    0.011    0.002 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/loaders.py:456(load_data)
      121    0.000    0.000    0.011    0.000 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/hooks.py:418(register)
        1    0.000    0.000    0.011    0.011 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/session.py:1265(get_session)
        1    0.000    0.000    0.011    0.011 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/session.py:97(__init__)
    94/82    0.000    0.000    0.011    0.000 {method 'acquire' of '_thread.lock' objects}
    72/63    0.000    0.000    0.010    0.000 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/session.py:1137(get_component)
        4    0.000    0.000    0.010    0.003 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:1115(join)
        1    0.000    0.000    0.010    0.010 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/session.py:247(_register_builtin_handlers)
        4    0.000    0.000    0.010    0.003 /opt/homebrew/Cellar/python@3.12/3.12.4/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:1153(_wait_for_tstate_lock)
      112    0.000    0.000    0.010    0.000 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/botocore/session.py:709(register)
    14439    0.006    0.000    0.010    0.000 /Users/jonathanspence/Documents/CourseWork/energy_monitor/.venv/lib/python3.12/site-packages/pandas/core/dtypes/inference.py:373(is_sequence)
