         229789 function calls (226476 primitive calls) in 2.140 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.035    0.035 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/awsrequest.py:87(request)
        1    0.000    0.000    0.035    0.035 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/botocore/awsrequest.py:113(_send_output)
        1    0.000    0.000    0.035    0.035 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/wait.py:113(wait_for_read)
        1    0.000    0.000    0.035    0.035 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/wait.py:57(poll_wait_for_socket)
        1    0.000    0.000    0.035    0.035 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/wait.py:74(do_poll)
        1    0.035    0.035    0.035    0.035 {method 'poll' of 'select.poll' objects}
       26    0.000    0.000    0.023    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/socket.py:946(getaddrinfo)
       26    0.023    0.001    0.023    0.001 {built-in method _socket.getaddrinfo}
       25    0.000    0.000    0.018    0.001 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/requests/sessions.py:750(merge_environment_settings)
       25    0.000    0.000    0.018    0.001 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/requests/sessions.py:457(prepare_request)
       25    0.000    0.000    0.017    0.001 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/requests/utils.py:826(get_environ_proxies)
        4    0.000    0.000    0.017    0.004 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/util/_decorators.py:325(wrapper)
        2    0.000    0.000    0.017    0.008 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/core/frame.py:1310(to_string)
        2    0.000    0.000    0.016    0.008 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:939(to_string)
        2    0.000    0.000    0.016    0.008 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/string.py:28(to_string)
        2    0.000    0.000    0.016    0.008 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/string.py:40(_get_string_representation)
        2    0.000    0.000    0.016    0.008 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/string.py:34(_get_strcols)
        2    0.000    0.000    0.016    0.008 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:472(get_strcols)
        2    0.000    0.000    0.016    0.008 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:704(_get_strcols_without_index)
        1    0.000    0.000    0.016    0.016 /Users/joshuasigma/Documents/Sigma/energy_monitor/pipeline/extract_price.py:108(process_data)
       44    0.000    0.000    0.014    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:751(format_col)
        1    0.014    0.014    0.014    0.014 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
       25    0.000    0.000    0.012    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/core/frame.py:694(__init__)
       46    0.000    0.000    0.012    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1079(format_array)
       25    0.000    0.000    0.011    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/requests/models.py:351(prepare)
       46    0.000    0.000    0.011    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1193(get_result)
       25    0.000    0.000    0.011    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/requests/utils.py:765(should_bypass_proxies)
       26    0.000    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:245(parse_headers)
       26    0.000    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/urllib/request.py:2684(proxy_bypass)
       26    0.000    0.000    0.009    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/http/client.py:231(_parse_header_lines)
       32    0.000    0.000    0.009    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1471(_format_strings)
       26    0.000    0.000    0.009    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/parser.py:56(parsestr)
       32    0.000    0.000    0.009    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1343(get_result_as_array)
       26    0.000    0.000    0.009    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/parser.py:41(parse)
       52    0.001    0.000    0.008    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/url.py:369(parse_url)
       32    0.000    0.000    0.008    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1397(format_values_with)
       25    0.000    0.000    0.008    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/core/internals/construction.py:96(arrays_to_mgr)
      153    0.005    0.000    0.008    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/util/url.py:227(_encode_invalid_chars)
       25    0.000    0.000    0.007    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/requests/adapters.py:446(get_connection_with_tls_context)
       26    0.000    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/urllib/request.py:2670(proxy_bypass_macosx_sysconf)
       26    0.000    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/feedparser.py:171(feed)
       25    0.000    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/weakref.py:585(__call__)
       25    0.000    0.000    0.007    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/requests/models.py:409(prepare_url)
       32    0.000    0.000    0.007    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1805(_trim_zeros_float)
       25    0.000    0.000    0.007    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:1174(_close_pool_connections)
        1    0.000    0.000    0.007    0.007 /Users/joshuasigma/Documents/Sigma/energy_monitor/pipeline/extract_price.py:43(get_settlement_periods)
       52    0.000    0.000    0.007    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/feedparser.py:176(_call_parse)
       52    0.001    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/email/feedparser.py:216(_parsegen)
30668/30531    0.004    0.000    0.006    0.000 {built-in method builtins.isinstance}
       26    0.000    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/urllib/request.py:2697(getproxies)
       26    0.000    0.000    0.006    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/poolmanager.py:276(connection_from_host)
       52    0.001    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/urllib/request.py:2505(getproxies_environment)
       26    0.000    0.000    0.006    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/poolmanager.py:305(connection_from_context)
     3774    0.001    0.000    0.005    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/formats/format.py:1816(is_number_with_decimal)
     3827    0.001    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/__init__.py:164(match)
       26    0.005    0.000    0.005    0.000 {built-in method _scproxy._get_proxy_settings}
        1    0.000    0.000    0.005    0.005 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/feather_format.py:69(read_feather)
       26    0.000    0.000    0.005    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/poolmanager.py:330(connection_from_pool_key)
      292    0.000    0.000    0.005    0.000 {method 'join' of 'bytes' objects}
       75    0.000    0.000    0.005    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/requests/models.py:890(content)
       25    0.000    0.000    0.005    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/requests/adapters.py:359(build_response)
       25    0.000    0.000    0.004    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/core/internals/construction.py:596(_homogenize)
        1    0.000    0.000    0.004    0.004 /Users/joshuasigma/Documents/Sigma/energy_monitor/pipeline/common.py:36(save_data_locally)
        1    0.000    0.000    0.004    0.004 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/core/frame.py:2909(to_feather)
        1    0.000    0.000    0.004    0.004 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pandas/io/feather_format.py:38(to_feather)
       50    0.000    0.000    0.004    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/requests/models.py:816(generate)
       26    0.000    0.000    0.004    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/poolmanager.py:229(_new_pool)
       51    0.000    0.000    0.004    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/response.py:1038(stream)
       50    0.001    0.000    0.004    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/response.py:1160(read_chunked)
       26    0.000    0.000    0.004    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connectionpool.py:982(__init__)
       25    0.000    0.000    0.004    0.000 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/urllib3/connection.py:273(close)
        1    0.000    0.000    0.004    0.004 /Users/joshuasigma/Documents/Sigma/energy_monitor/pipeline/common.py:43(get_s3_client)
        1    0.000    0.000    0.004    0.004 /Users/joshuasigma/Documents/Sigma/energy_monitor/.venv/lib/python3.12/site-packages/pyarrow/feather.py:199(read_feather)
